SNID,IAUC,FAKE,RA,DECL,PIXSIZE,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_OBJID,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SNSEP,PEAKMJD,SEARCH_TYPE
679         ,2005eh  ,0,-32.565094,0.657447,0.40000000596,0,104,1,104,0.0855000019073,0.0142000000924,0.124957002699,1.70000002981e-05,0.123663000762,1.70000002981e-05,1237656238472888832,0.175300002098,-9.0,2.46399998665,53591.8984375,0
680         ,UNKNOWN ,0,-32.444672,0.842493,0.40000000596,5,198,106,303,0.083400003612,0.0138999996707,-9.0,-9.0,-9.0,-9.0,1237678617403654656,-9.0,-9.0,0.202999994159,53626.0,5
682         ,UNKNOWN ,0,-28.760437,0.845329,0.40000000596,0,185,305,489,0.0502999983728,0.00839999970049,0.0485510006547,2.20000001718e-05,0.0473169982433,2.20000001718e-05,1237678617405227520,0.0644000023603,-9.0,0.623000025749,53605.8984375,0
685         ,UNKNOWN ,0,-22.176788,-0.882152,0.40000000596,101,109,491,599,0.0612999983132,0.0102000003681,-9.0,-9.0,-9.0,-9.0,1237656906345349632,-9.0,-9.0,0.310000002384,53625.8984375,101
688         ,UNKNOWN ,0,-16.828583,-0.96299,0.40000000596,0,102,601,702,0.0869999974966,0.0144999995828,0.0678659975529,9.99999974738e-06,0.0665630027652,9.99999974738e-06,1237656906347708672,0.0723000019789,-9.0,0.0500000007451,53594.6992188,0
689         ,UNKNOWN ,0,-14.685486,-0.866374,0.40000000596,5,101,704,804,0.0504000000656,0.00839999970049,-9.0,-9.0,-9.0,-9.0,1237656906348626432,0.614300012589,-9.0,0.405999988317,53626.0,5
691         ,UNKNOWN ,0,-30.270691,-0.498589,0.40000000596,0,105,806,910,0.0674000009894,0.0111999996006,0.1309030056,2.09999998333e-05,0.129586994648,2.09999998333e-05,1237663542608986368,0.075300000608,-9.0,3.58999991417,53602.8984375,0
692         ,UNKNOWN ,0,-8.928986,-0.945807,0.40000000596,110,103,912,1014,0.0364999994636,0.00609999988228,0.19727499783,2.99999992421e-05,0.195811003447,2.99999992421e-05,1237656906351182080,0.191400006413,-9.0,0.136000007391,53613.5,110
694         ,UNKNOWN ,0,-29.845459,-0.623547,0.40000000596,0,184,1016,1199,0.0736000016332,0.0122999995947,0.12749299407,1.80000006367e-05,0.126177996397,1.80000006367e-05,1237663542609183232,0.0881000012159,-9.0,0.702000021935,53617.6015625,0
695         ,UNKNOWN ,0,-7.036591,-0.963936,0.40000000596,5,100,1201,1300,0.0401999987662,0.00669999979436,0.0582670010626,9.00000031834e-06,0.0569760017097,9.00000031834e-06,1237656906351968512,0.0819000005722,-9.0,0.663999974728,53617.8984375,5
